"node"	"mean_edge_length"
3	0.666666666666667
3	1
3	1
3	1
3	0.666666666666667
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	0.666666666666667
3	1
3	0.666666666666667
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	1
3	1
3	0.666666666666667
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
3	0.666666666666667
3	1
3	1
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	0.666666666666667
3	0.666666666666667
3	0.666666666666667
3	1
3	1
3	1
3	1
3	0.666666666666667
4	1
4	1
4	1.5
4	0.75
4	1
4	1
4	1
4	1.25
4	1.5
4	1
4	1
4	1.5
4	1.5
4	1
4	1.5
4	1.5
4	1.5
4	1
4	1.5
4	0.75
4	1
4	1.5
4	1
4	1.5
4	1
4	0.75
4	1
4	1
4	1
4	1.5
4	1.5
4	1.5
4	1
4	1.5
4	1
4	1.5
4	0.75
4	1.5
4	1
4	1
4	1.5
4	0.75
4	1.25
4	1
4	1.5
4	1
4	1
4	1.5
4	1
4	1.5
4	1
4	0.75
4	1
4	1
4	1.5
4	1.5
4	1.5
4	0.75
4	1
4	1.5
4	1.5
4	0.75
4	1
4	1.5
4	1
4	1.25
4	1
4	1.5
4	1.5
4	0.75
4	1.5
4	1.5
4	1.5
4	1.5
4	1
4	0.75
4	1
4	1.5
4	1
4	1
4	1.5
4	1.5
4	1
4	1
4	1
4	1
4	0.75
4	1.25
4	1
4	1.25
4	1.5
4	1
4	1.5
4	1.5
4	1
4	1.5
4	1
4	1.25
4	1.25
4	1.5
4	1
4	1.5
4	1.5
4	1.25
4	1.5
4	1.5
4	1.5
4	1.5
4	0.75
4	1.5
4	1
4	1.5
4	0.75
4	1
4	1.5
4	1
4	1
4	1.5
4	1.5
4	1
4	0.75
4	1.5
4	1
4	1
4	1
4	1.5
4	1.5
4	1
4	1.5
4	1
4	1.5
4	1
4	1
4	1
4	1.5
4	0.75
4	1
4	1
4	1.5
4	1.5
4	1
4	1.25
4	1
4	1.5
4	1.5
4	1.5
4	1
4	1.5
4	1
4	1.5
4	1
4	1
4	1
4	1.5
4	1
4	1
4	1.5
4	1
4	1.5
4	0.75
4	1.5
4	1
4	1.5
4	1
4	1.5
4	1.5
4	1
4	1
4	1.5
4	1
4	1.5
4	0.75
4	1.5
4	1
4	1.5
4	1
4	1
4	1.5
4	1.5
4	1.5
4	1.5
4	1.5
4	0.75
4	1
4	1
4	1.5
4	1.5
4	1
4	1
5	1.4
5	1.2
5	2
5	0.8
5	1.2
5	2
5	1.4
5	2
5	1
5	1
5	2
5	1.2
5	1.4
5	1.4
5	1.2
5	1.4
5	2
5	2
5	2
5	1.4
5	1.4
5	1
5	1.2
5	1.2
5	1.4
5	1.2
5	1.4
5	2
5	2
5	1.2
5	1
5	1
5	1
5	1
5	1.4
5	1
5	1.2
5	1.6
5	1.2
5	1
5	1.2
5	1
5	1
5	1
5	1
5	1.4
5	1.6
5	1.4
5	1.2
5	1
5	1.4
5	2
5	2
5	1.4
5	1.4
5	1.4
5	2
5	1
5	1.4
5	1.4
5	1.2
5	1
5	1
5	1
5	2
5	1.2
5	1.6
5	2
5	1.2
5	1
5	1.2
5	1.2
5	1.4
5	1
5	2
5	1.4
5	1.4
5	1
5	2
5	2
5	1.2
5	1
5	1
5	1
5	2
5	1.4
5	1.2
5	1.4
5	2
5	1.4
5	1
5	1.2
5	1.4
5	1.6
5	1.2
5	1.4
5	1.4
5	1
5	1
5	1.2
5	1.4
5	1.2
5	2
5	2
5	2
5	1.4
5	1
5	1.4
5	1.4
5	1.4
5	1.4
5	0.8
5	1.4
5	1
5	1
5	1.4
5	1.4
5	1.2
5	2
5	2
5	1
5	1.2
5	1.2
5	1.2
5	1.6
5	2
5	1.2
5	1
5	1
5	1.2
5	1.4
5	1.4
5	1.2
5	1.2
5	1.6
5	1
5	1.4
5	1.4
5	1
5	1
5	1.4
5	1.4
5	1
5	1
5	1.4
5	1.2
5	1.4
5	2
5	1.2
5	1
5	1
5	1.4
5	1.4
5	1.4
5	1.4
5	2
5	1.4
5	1.4
5	1.2
5	1.4
5	2
5	1.4
5	1.4
5	1.2
5	1
5	1.4
5	1
5	1.2
5	1.4
5	1.4
5	1.4
5	1.2
5	1.2
5	1
5	1.2
5	1.6
5	1.6
5	1.4
5	1
5	1.2
5	1
5	1.6
5	1
5	1.2
5	0.8
5	1.2
5	1
5	1.4
5	2
5	1
5	2
5	1.2
5	1.4
5	1.2
5	1.4
5	2
5	1
5	1.4
5	1.2
5	1.4
5	1.4
5	1
5	1.2
5	1.4
5	2
5	1.2
5	1.4
5	1.4
5	2
5	1
5	1
5	1.2
5	1
5	1
5	1
5	1.2
5	2
5	1.2
5	1.2
5	1.2
5	1
5	1
5	1.2
5	1
6	2
6	1.16666666666667
6	2
6	1.5
6	1.5
6	1.5
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.83333333333333
6	1.33333333333333
6	1.5
6	1.16666666666667
6	1.83333333333333
6	1.83333333333333
6	1.33333333333333
6	1.5
6	1.5
6	1.83333333333333
6	1.33333333333333
6	1.83333333333333
6	1.16666666666667
6	1.5
6	1.33333333333333
6	1.16666666666667
6	1.5
6	2.5
6	1.5
6	1.83333333333333
6	1.5
6	1.5
6	1.16666666666667
6	1.5
6	1.66666666666667
6	1.5
6	1.5
6	1.16666666666667
6	1.33333333333333
6	1.33333333333333
6	2.5
6	1.66666666666667
6	1
6	1.5
6	1.5
6	1.16666666666667
6	1.33333333333333
6	1.16666666666667
6	1.33333333333333
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.16666666666667
6	1.16666666666667
6	1
6	1.5
6	1.5
6	1.5
6	1.83333333333333
6	1.83333333333333
6	1
6	1.5
6	1.5
6	1.5
6	1.5
6	2
6	1.33333333333333
6	1.83333333333333
6	1.5
6	1.16666666666667
6	1.5
6	1.33333333333333
6	1
6	1.5
6	2
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.5
6	1.5
6	1.83333333333333
6	1.33333333333333
6	1.33333333333333
6	1.33333333333333
6	1.83333333333333
6	2.5
6	1.16666666666667
6	1.33333333333333
6	1.16666666666667
6	1.33333333333333
6	2
6	1.5
6	1.5
6	2.5
6	1.33333333333333
6	1.16666666666667
6	1.33333333333333
6	1.5
6	1.33333333333333
6	1.33333333333333
6	1.5
6	1.33333333333333
6	2
6	1.5
6	1.33333333333333
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.33333333333333
6	1.5
6	1.5
6	1
6	1.16666666666667
6	1.83333333333333
6	2.5
6	1.83333333333333
6	1.16666666666667
6	1.5
6	1.5
6	1
6	1.16666666666667
6	2
6	1.5
6	2
6	1.16666666666667
6	1.5
6	1.16666666666667
6	1.16666666666667
6	2
6	1.16666666666667
6	1.5
6	1
6	1.16666666666667
6	1.5
6	2.5
6	1.16666666666667
6	1.33333333333333
6	1.5
6	2.33333333333333
6	1.33333333333333
6	1.33333333333333
6	1.16666666666667
6	1.5
6	2.5
6	1.83333333333333
6	2
6	1.5
6	1.5
6	2
6	1.16666666666667
6	1.83333333333333
6	1.83333333333333
6	1.83333333333333
6	1.16666666666667
6	1.5
6	1.66666666666667
6	2.5
6	1.33333333333333
6	1.33333333333333
6	1.83333333333333
6	1
6	1.16666666666667
6	1.16666666666667
6	1.66666666666667
6	1.5
6	1.33333333333333
6	1.16666666666667
6	1
6	1.5
6	1.16666666666667
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.5
6	1.83333333333333
6	1.16666666666667
6	1.16666666666667
6	1.83333333333333
6	1.83333333333333
6	1
6	1.83333333333333
6	1.16666666666667
6	1.83333333333333
6	1.16666666666667
6	1.5
6	1
6	1.5
6	1.5
6	1.5
6	1.83333333333333
6	1.16666666666667
6	1.83333333333333
6	1.16666666666667
6	1.16666666666667
6	1.33333333333333
6	1.33333333333333
6	1.33333333333333
6	1.5
6	2.5
6	1.83333333333333
6	1.16666666666667
6	1.5
6	1.16666666666667
6	1.33333333333333
6	1.16666666666667
6	1.16666666666667
6	1.16666666666667
6	1.66666666666667
6	1.5
6	1.5
6	1.33333333333333
6	1.5
6	1.16666666666667
6	1.16666666666667
6	1
6	1.83333333333333
6	2
6	1.5
6	1.5
6	1.16666666666667
6	2
6	1.5
6	2.5
6	1.33333333333333
6	1.33333333333333
6	1.83333333333333
6	1.33333333333333
6	1.5
6	2.5
6	2.5
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.83333333333333
6	1.5
6	2.5
6	1.16666666666667
6	1.5
6	1.16666666666667
6	1.33333333333333
6	1.5
6	1.83333333333333
6	1.5
6	1.33333333333333
6	1.5
6	1.16666666666667
6	1.83333333333333
6	1.5
6	1.16666666666667
6	1.5
6	2.33333333333333
6	1
6	1.5
6	1.33333333333333
6	2.5
6	1.16666666666667
6	1.5
6	2.5
6	1.5
6	1.33333333333333
6	1.5
6	1.33333333333333
6	2.5
6	2.33333333333333
6	1.33333333333333
6	1.5
6	1.33333333333333
6	1.16666666666667
6	1.16666666666667
6	1.5
6	1.5
6	1.5
6	1.5
7	1.42857142857143
7	1.71428571428571
7	1.14285714285714
7	1.42857142857143
7	1.57142857142857
7	1.85714285714286
7	1.71428571428571
7	1.85714285714286
7	1.85714285714286
7	1.85714285714286
7	1.42857142857143
7	1.28571428571429
7	1.28571428571429
7	1.42857142857143
7	2.28571428571429
7	1.28571428571429
7	1.85714285714286
7	1.42857142857143
7	1.28571428571429
7	1.71428571428571
7	1.71428571428571
7	1.71428571428571
7	1.42857142857143
7	1.71428571428571
7	1.85714285714286
7	1.71428571428571
7	2.14285714285714
7	1.42857142857143
7	1.57142857142857
7	1.71428571428571
7	1.85714285714286
7	1.28571428571429
7	2.14285714285714
7	1.28571428571429
7	1.42857142857143
7	1.42857142857143
7	1.57142857142857
7	1.85714285714286
7	2.42857142857143
7	1.85714285714286
7	1.42857142857143
7	1.57142857142857
7	1.71428571428571
7	1.85714285714286
7	1.85714285714286
7	1.42857142857143
7	1.42857142857143
7	1.71428571428571
7	1.28571428571429
7	1.71428571428571
7	1.42857142857143
7	1.71428571428571
7	1.28571428571429
7	1.85714285714286
7	1.57142857142857
7	1.71428571428571
7	1.71428571428571
7	1.28571428571429
7	1.14285714285714
7	1.28571428571429
7	1.42857142857143
7	1.85714285714286
7	2.14285714285714
7	3
7	1.14285714285714
7	1.42857142857143
7	1.71428571428571
7	1.57142857142857
7	1.57142857142857
7	1.28571428571429
7	1.28571428571429
7	1.71428571428571
7	1.42857142857143
7	1.42857142857143
7	1.85714285714286
7	1.14285714285714
7	1.14285714285714
7	2.28571428571429
7	1.42857142857143
7	1.28571428571429
7	1.14285714285714
7	1.42857142857143
7	2.14285714285714
7	1.42857142857143
7	1.85714285714286
7	1.85714285714286
7	2.14285714285714
7	2
7	1.85714285714286
7	2.42857142857143
7	3
7	1.85714285714286
7	3
7	1.71428571428571
7	3
7	1.71428571428571
7	1.14285714285714
7	1.71428571428571
7	1.71428571428571
7	1.42857142857143
7	1.85714285714286
7	1.57142857142857
7	1.57142857142857
7	1.28571428571429
7	1.42857142857143
7	1.42857142857143
7	1.28571428571429
7	1.71428571428571
7	1.14285714285714
7	1.71428571428571
7	1.71428571428571
7	1.28571428571429
7	2.28571428571429
7	1.28571428571429
7	1.14285714285714
7	1.57142857142857
7	1.57142857142857
7	1.71428571428571
7	1.42857142857143
7	2.14285714285714
7	1.14285714285714
7	1.14285714285714
7	1.42857142857143
7	1.42857142857143
7	1.42857142857143
7	1.42857142857143
7	2.28571428571429
7	1.42857142857143
7	1.71428571428571
7	1.42857142857143
7	1.57142857142857
7	2.28571428571429
7	2.14285714285714
7	1.14285714285714
7	1.42857142857143
7	1.28571428571429
7	1.85714285714286
7	1.71428571428571
7	1.28571428571429
7	1.71428571428571
7	2.28571428571429
7	2.14285714285714
7	1.42857142857143
7	1.57142857142857
7	1.85714285714286
7	1.85714285714286
7	1.71428571428571
7	3
7	1.57142857142857
7	1.42857142857143
7	1.42857142857143
7	1.42857142857143
7	1.42857142857143
