"Language"	"Model.1"	"Model.1."	"Model.2"	"Model.2."	"model.3"	"model.3."	"Model.4"	"Model.4."
"Arabic"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Basque"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Bengali"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Bulgarian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Catalan"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Czech"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Danish"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Dutch"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"English"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Estonian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"German"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Greek (Modern)"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Greek (Ancient)"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Finnish"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Hindi"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Hungarian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Italian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Japanese"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Latin"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Persian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Portuguese"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Romanian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Russian"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Slovak"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Slovene"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Spanish"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Swedish"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Tamil"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Telugu"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
"Turkish"	5896.90998604895	5628.31117437753	5673.78971029941	5403.68783428569	7705.30294531984	6696.76594228698	5598.83057490098	5413.07783154396
